iter	Logloss
0	0.650758367
1	0.626777796
2	0.6023599808
3	0.5809318055
4	0.5723787353
5	0.5643593055
6	0.5612246366
7	0.5525312329
8	0.5415624691
9	0.5351258177
10	0.5331109851
11	0.5291787851
12	0.5256790563
13	0.5228395452
14	0.5208510832
15	0.5164992729
16	0.5138225303
17	0.5131250593
18	0.5126937956
19	0.5106940922
20	0.510026829
21	0.5091462737
22	0.508622594
23	0.5085570458
24	0.5083811003
25	0.5082299228
26	0.5077234133
27	0.5073353918
28	0.5068341592
29	0.5060772599
30	0.5057490675
31	0.5056063874
32	0.5052268729
33	0.504743174
34	0.5047087608
35	0.5027341664
36	0.5023427111
37	0.5018370284
38	0.5014920987
39	0.5010744318
40	0.4998514685
41	0.4991206351
42	0.4975711665
43	0.4970868442
44	0.4966913046
45	0.4960888493
46	0.495087032
47	0.4942198658
48	0.4928226725
49	0.4917365439
50	0.4880104707
51	0.4848545971
52	0.4823199909
53	0.4804852078
54	0.4781569778
55	0.4754724554
56	0.4732319826
57	0.4713298587
58	0.4697060393
59	0.4666606671
60	0.4652361088
61	0.4632033471
62	0.4617820836
63	0.4606390684
64	0.4586650524
65	0.4575506506
66	0.456108227
67	0.4552249604
68	0.4536160876
69	0.4527983655
70	0.451328445
71	0.4497311926
72	0.4487829357
73	0.4484491605
74	0.4476635149
75	0.4469800546
76	0.4457569107
77	0.4444973672
78	0.4438366895
79	0.442745939
80	0.4416216359
81	0.4407349731
82	0.4394446681
83	0.4376834633
84	0.436760445
85	0.4360463
86	0.4352906064
87	0.4341850472
88	0.4336958166
89	0.4327885495
90	0.4324054104
91	0.4323829589
92	0.4315709143
93	0.4309599009
94	0.4302498343
95	0.4294164873
96	0.4281785036
97	0.4279240549
98	0.4279002647
99	0.4270981938
100	0.4262268254
101	0.4255647916
102	0.4249978598
103	0.4246740134
104	0.4234293685
105	0.4234131074
106	0.4229257137
107	0.4229215539
108	0.4215840154
109	0.4208782562
110	0.4200576717
111	0.419475483
112	0.418868085
113	0.4174972227
114	0.4169122537
115	0.4161471076
116	0.4153056664
117	0.4149450813
118	0.4149384773
119	0.4149203078
120	0.4143937306
121	0.4138937591
122	0.4136789566
123	0.4128783096
124	0.4126222167
125	0.4124991964
126	0.4124766196
127	0.4124190285
128	0.4116395684
129	0.4108348363
130	0.4100363615
131	0.4094970808
132	0.4086850225
133	0.408430527
134	0.4079911259
135	0.40773577
136	0.4073029173
137	0.4066966845
138	0.4064984919
139	0.4062806758
140	0.4062486329
141	0.4058469507
142	0.4045358123
143	0.4041522218
144	0.4041446866
145	0.4036616627
146	0.4027890328
147	0.4022583613
148	0.4015219164
149	0.4011987626
150	0.4004818196
151	0.4004558372
152	0.4001175509
153	0.3993478856
154	0.3989348766
155	0.3983190122
156	0.3980509061
157	0.3979583744
158	0.3975206355
159	0.3975124422
160	0.3971341423
161	0.3964275726
162	0.395650607
163	0.3956430639
164	0.3955561372
165	0.3949091268
166	0.3942524861
167	0.3933960009
168	0.3927683121
169	0.3921430675
170	0.3917563757
171	0.3911519071
172	0.3908114973
173	0.3905949808
174	0.3905471907
175	0.3903019878
176	0.3899762277
177	0.3897843944
178	0.3897798007
179	0.3891187857
180	0.3884839639
181	0.3877406914
182	0.3872702181
183	0.3866887377
184	0.3858867964
185	0.3854126945
186	0.3849831312
187	0.3838150177
188	0.3835910396
189	0.3833332732
190	0.3827635012
191	0.3827551298
192	0.3819335858
193	0.3814779425
194	0.3809003895
195	0.3805356978
196	0.3801759833
197	0.379987297
198	0.3791728481
199	0.3786601257
200	0.378414944
201	0.3781821653
202	0.3781420651
203	0.3776340543
204	0.3770673715
205	0.3768330844
206	0.3766959356
207	0.3766103008
208	0.3766059488
209	0.3756846744
210	0.3754528691
211	0.3752648371
212	0.3746163837
213	0.3743336309
214	0.3741026344
215	0.3734159703
216	0.3727773664
217	0.3719799476
218	0.371277194
219	0.3709319388
220	0.3705690556
221	0.3702900209
222	0.3697516076
223	0.3693537568
224	0.3693350826
225	0.3691685302
226	0.368955447
227	0.3689458267
228	0.3682785258
229	0.3675017859
230	0.3669910366
231	0.3664582332
232	0.3661328003
233	0.3657300376
234	0.3652612114
235	0.3648633312
236	0.3645241215
237	0.3645035569
238	0.3641341428
239	0.3635489948
240	0.3631828091
241	0.3623563998
242	0.362186216
243	0.3619102497
244	0.3610603663
245	0.360761815
246	0.3603202156
247	0.3597134748
248	0.3595353088
249	0.359164382
250	0.3586227807
251	0.358366521
252	0.3577843277
253	0.3573291999
254	0.3567922151
255	0.3562971375
256	0.355820133
257	0.3556637283
258	0.3555776164
259	0.3553903804
260	0.3551837918
261	0.3545612856
262	0.3540582905
263	0.3536009217
264	0.3529320139
265	0.3523560676
266	0.3518448131
267	0.3516818842
268	0.3511913125
269	0.3509945405
270	0.3505384126
271	0.3502066897
272	0.3496407628
273	0.3491142483
274	0.3484580813
275	0.3481657503
276	0.3481597257
277	0.3479793145
278	0.347529827
279	0.346707053
280	0.3464912067
281	0.3462946586
282	0.3462876184
283	0.3459865888
284	0.3457321117
285	0.3453346162
286	0.3450131617
287	0.3442310804
288	0.3436311501
289	0.3433231729
290	0.3430613492
291	0.3430234634
292	0.342221435
293	0.3421119796
294	0.3420847894
295	0.3420053967
296	0.341735661
297	0.3412763372
298	0.3411191047
299	0.3406219576
300	0.3403603134
301	0.3399637467
302	0.339676711
303	0.3393118561
304	0.3388301338
305	0.3382849158
306	0.3375327844
307	0.3371015182
308	0.3366524067
309	0.3364032741
310	0.3360376621
311	0.3359751989
312	0.3359304061
313	0.335519476
314	0.3353731544
315	0.3353237341
316	0.3349892182
317	0.3343240188
318	0.3339794286
319	0.3336028875
320	0.3332661376
321	0.3332480264
322	0.3331753435
323	0.3329163337
324	0.3327051364
325	0.3323499493
326	0.3323407405
327	0.332314325
